"sku_id","product_name","description","brand","category","sub_category","price","image_url","stock_quantity"
1,Potatoes Organic,High-quality potatoes from produce section.,Sainsbury's,Produce,Potatoes,4.55,https://images.unsplash.com/photo-1506806732259-39c2d0268443?auto=format&fit=crop&w=600&q=80,275
2,Pork Organic,High-quality pork from meat section.,Sainsbury's,Meat,Pork,12.67,https://images.unsplash.com/photo-1551024709-8f23befc6f87?auto=format&fit=crop&w=600&q=80,22
3,Chocolate Organic,High-quality chocolate from snacks section.,Taste the Difference,Snacks,Chocolate,5.66,https://images.unsplash.com/photo-1499636136210-6f4ee915583e?auto=format&fit=crop&w=600&q=80,37
4,Tea Organic,High-quality tea from beverages section.,SO Organic,Beverages,Tea,6.83,https://images.unsplash.com/photo-1509042239860-f550ce710b93?auto=format&fit=crop&w=600&q=80,89
5,Bread Premium,High-quality bread from bakery section.,Be Good to Yourself,Bakery,Bread,10.29,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80,166
6,Cheese Premium,High-quality cheese from dairy section.,Taste the Difference,Dairy,Cheese,2.53,https://images.unsplash.com/photo-1541599540903-216a46ca1dc0?auto=format&fit=crop&w=600&q=80,48
7,Butter Classic,High-quality butter from dairy section.,Basics,Dairy,Butter,4.84,https://images.unsplash.com/photo-1541599540903-216a46ca1dc0?auto=format&fit=crop&w=600&q=80,218
8,Tea Classic,High-quality tea from beverages section.,Be Good to Yourself,Beverages,Tea,9.96,https://images.unsplash.com/photo-1509042239860-f550ce710b93?auto=format&fit=crop&w=600&q=80,166
9,Carrots Organic,High-quality carrots from produce section.,Basics,Produce,Carrots,9.74,https://images.unsplash.com/photo-1505253216365-4b3356b15cfc?auto=format&fit=crop&w=600&q=80,412
10,Pork Premium,High-quality pork from meat section.,Basics,Meat,Pork,13.61,https://images.unsplash.com/photo-1551024709-8f23befc6f87?auto=format&fit=crop&w=600&q=80,108
11,Juice Organic,High-quality juice from beverages section.,Taste the Difference,Beverages,Juice,0.85,https://images.unsplash.com/photo-1510626176961-4b37d0b4e904?auto=format&fit=crop&w=600&q=80,14
12,Juice Classic,High-quality juice from beverages section.,Sainsbury's,Beverages,Juice,9.79,https://images.unsplash.com/photo-1510626176961-4b37d0b4e904?auto=format&fit=crop&w=600&q=80,461
